description,recruiter,region,title,url
"Vous maîtrisez la langue française et vouez un intérêt pour les technologies de l’information, 	Vous êtes à la recherche d’un emploi stable, moti...",💎 💎 💎 Teleperformance,Tunis,Conseillers client Assistance technique,offre/56457/conseillers-client-assistance-technique
" 	Vous maîtrisez la langue française et vouez un intérêt pour les technologies de l’information, 	Vous êtes à la recherche d’un emploi stable, moti...",💎 💎 💎 Teleperformance,Ben Arous (Gouvernorats),Conseillers client Assistance commerciale,offre/55869/conseillers-client-assistance-commerciale
Programmeur Web de niveau intermédiaire pour se joindre à notre équipe. Le candidat retenu sera responsable de la programmation de divers projets ,Oncode,Tunis,Développeur Front-End,offre/55303/developpeur-front-end
"En tant qu’ agence digitale , SHIFT conçoit des projets Web très variés (sites institutionnels, marchands, Extranet , applicatifs Web, marketplaces...",Shift,Les berges du lac 2,Développeur PHP / LARAVEL,offre/56967/developpeur-php-laravel
"Vous maîtrisez la langue française et vouez un intérêt pour les technologies de l’information, 	Vous êtes à la recherche d’un emploi stable, moti...",💎 💎 💎 Teleperformance,Tunis,Conseillers client Assistance technique,offre/56457/conseillers-client-assistance-technique
Programmeur Web de niveau intermédiaire pour se joindre à notre équipe. Le candidat retenu sera responsable de la programmation de divers projets ,Oncode,Tunis,Développeur Front-End,offre/55303/developpeur-front-end
"Vous maîtrisez la langue française et vouez un intérêt pour les technologies de l’information, Vous êtes à la recherche d’un emploi stable, motivan...",💎 💎 💎 Teleperformance,"Le Kram (Déléguations), Tunis",Conseillers client Assistance technique,offre/54349/conseillers-client-assistance-technique
"  - Expérience de 1 à 4 ans.  - Une maîtrise de l’une des technologies suivantes est appréciée : .NET, ANGULARJS, Xamarin  - Excellent niveau en Fr...",Expensya Tunisie,"La Marsa, Tunis",Développeur informatique Fullstack ,offre/57039/developpeur-informatique-fullstack-
La societe YOS cherche a recruter un(e) Télé-commercial(e) expérimenté(e) Description de l'emploi: Votre mission: 	Accueillir les clients au téléph...,YOUFAA ONLINE SERVICES,"Hammam Sousse (Déléguations), Sousse",Technico-commercial expérimenté,offre/57073/technico-commercial-experimente
La societe YOS cherche a recruter un(e) Chargé(e) Client.  Description de l'emploi: Vos missions :  - Accueil téléphonique  - Suivi des commandes :...,YOUFAA ONLINE SERVICES,"Hammam Sousse (Déléguations), Sousse",Chargé(e) Client,offre/57072/charge-e-client
"Ingénieur /Technicien Programmeur CNC 5 et 3 axes Préparation des pièces modèles en structure bruts (collage,...",BFA Consulting,"La Marsa, Tunis",Ingénieur /Technicien Programmeur CNC 5 et 3 axes,offre/57070/ingenieur-technicien-programmeur-cnc-5-et-3-axes
"Sopra Steria – Sopra Banking Software - Tunis Sopra Banking Software est un fournisseur de solutions globales comprenant, outre sa...",Cassiopae,Tunis,Sopra Steria – Sopra Banking Software,offre/57067/sopra-steria-sopra-banking-software
"En forte croissance AT Services, Filiale d'Agence Télécom Premier distributeur indépendant de SFR Business, cherche à recruter de nouveaux collabor...",💎 AT Services,"La Marsa, Tunis",Bienvenue chez AT SERVICES! ,offre/57065/bienvenue-chez-at-services-
Nous sommes à la recherche d’un profil de Stagiaire/Développeur ayant des connaissances en développement Mobile....,eSolutions,Tunis,Stage Pré-embauche - Développement Mobile (à distance),offre/57064/stage-pre-embauche-developpement-mobile-a-distance-
Cherchons Experts et Formateurs Logiciels e-commerce expérimentés dans le domaine pour des actions de formation et projets.,Key Decision,Tunis,Experts et Formateurs Logiciels e-commerce,offre/57062/experts-et-formateurs-logiciels-e-commerce
"Bonjour, Nous cherchons un freelance pour un projet sur wordpress : Site de 5 pages Contenu du site : • 1 page...",Yokay International Services,"El Manar 2, El Menzah",Recherche freelance Wordpress,offre/57061/recherche-freelance-wordpress
"LE POSTE Au sein des équipes du pôle Technologies et Production Agile de notre client, son futur ingénieur...",STA MEA,"Paris, France (FR)",Ingénieur Systèmes Sénior,offre/57058/ingenieur-systemes-senior
AXELITES est une société offshore basée en Tunisie spécialisée dans les métiers du Web. Nous offrons des prestations en régie ...,AXELITES,Tunis,Développeur web confirmé,offre/57057/developpeur-web-confirme
"Nous sommes à la recherche d'un(e) graphiste créatif passionné(e) du digital , motivé(e) et sympa pour intégrer notre équipe ...",Lézard Com,Ariana,Graphiste junior web & mobile,offre/57055/graphiste-junior-web-and-mobile
"LE POSTE Au sein des équipes système du Systèmes et réseaux du Pôle Technologies et Production Agile, notre...",STA MEA,"Paris, France (FR)",Ingénieur Systèmes Run,offre/57054/ingenieur-systemes-run
"INNOVA SOFT à l'Ariana recrute développeur JUNIOR (VB, C#, Mysql, ...), jeune diplômé(e) ou...",Innova Soft Tunisie,Ariana,Développeur Dot Net JUNIOR,offre/57052/developpeur-dot-net-junior
"Le pôle ingénierie où nous créons des solutions spécifiques pour nos clients ( grands groupes, PME, startups ) nationaux et internationaux ...",AmineWare,Tunis,Développeur Angular / 0-2 ans expérience / Lac 2,offre/57051/developpeur-angular-0-2-ans-experience-lac-2
"Missions : Développement des fonctionnalités Angular 4/7. La conception, l’implémentation et la maintenance...",Alpha Connect International,"La Mannouba, Mannouba",Développeur Front-end,offre/57047/developpeur-front-end
